ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7	gene_8
1	221	221	220	221	221	220	221	221
2	222	222	221	222	222	221	222	222
3	223	223	222	223	223	222	223	223
4	224	224	223	224	224	223	224	224
5	225	225	224	225	225	224	225	225
6	226	226	225	226	226	225	226	226
7	227	227	226	227	227	226	227	227
8	228	228	227	228	228	227	228	228
9	229	229	228	229	229	228	229	229
10	230	230	229	230	230	229	230	230
11	231	231	230	231	231	230	231	231
12	232	232	231	232	232	231	232	232
13	233	233	232	233	233	232	233	233
14	234	234	233	234	234	233	234	234
15	235	235	234	235	235	234	235	235
16	236	236	235	236	236	235	236	236
17	237	237	236	237	237	236	237	237
18	238	238	237	238	238	237	238	238
19	239	239	238	239	239	238	239	239
20	240	240	239	240	240	239	240	240
